"filename", "language", "Dart", "YAML", "Markdown", "Swift", "C++", "JSON", "HTML", "Properties", "XML", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Flutter projects\detailing\lib\logic\time.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 30
"d:\Flutter projects\detailing\lib\logic\timestamps.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 74
"d:\Flutter projects\detailing\lib\main.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\Flutter projects\detailing\lib\presentation\design\social_icons_icons.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 31
"d:\Flutter projects\detailing\lib\presentation\design\theme.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 34
"d:\Flutter projects\detailing\lib\presentation\screens\about.dart", "Dart", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 129
"d:\Flutter projects\detailing\lib\presentation\screens\add_auto.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 156
"d:\Flutter projects\detailing\lib\presentation\screens\home_page.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Flutter projects\detailing\lib\presentation\screens\order.dart", "Dart", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 203
"d:\Flutter projects\detailing\lib\presentation\screens\profile.dart", "Dart", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 174
"d:\Flutter projects\detailing\lib\presentation\screens\settings.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Flutter projects\detailing\lib\presentation\screens\sing_in.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 95
"d:\Flutter projects\detailing\lib\presentation\screens\sing_up.dart", "Dart", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 321
"d:\Flutter projects\detailing\lib\presentation\screens\welcome_page.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"d:\Flutter projects\detailing\lib\presentation\widgets\appbar_title_with_icon.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\Flutter projects\detailing\lib\presentation\widgets\button_with_text.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\Flutter projects\detailing\lib\presentation\widgets\drawer_main.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 103
"d:\Flutter projects\detailing\lib\presentation\widgets\drawer_point.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Flutter projects\detailing\lib\presentation\widgets\error_display.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Flutter projects\detailing\lib\presentation\widgets\info_card.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"d:\Flutter projects\detailing\lib\presentation\widgets\loading_widget.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Flutter projects\detailing\lib\presentation\widgets\text_button.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Flutter projects\detailing\lib\presentation\widgets\textformfield_default.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"d:\Flutter projects\detailing\lib\presentation\widgets\user_information_column_widget.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"d:\Flutter projects\detailing\pubspec.yaml", "YAML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 66
"d:\Flutter projects\detailing\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Flutter projects\detailing\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 7, 105
"d:\Flutter projects\detailing\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 5889, 219, 13, 12, 1, 235, 80, 8, 125, 93, 12, 299, 721, 7707
